avg_relevance,result,precision,conversation_id,eval_type,recall,turn_index,ground_truth,bot_response,f1,correctness,note,user_query
,skipped (no ground truth),,Academic Conferences#1,Described Dataset,,0,[],,,,,Can you find open datasets on AI or Machine Learning conferences?
,skipped (no ground truth),,Academic Conferences#1,Additional Dataset Information,,1,[],,,,,Do these datasets include information on past and upcoming conferences?
,skipped (no ground truth),,Academic Conferences#1,Source Request,,2,[],,,,,Where is this dataset hosted? Can you provide the link?
,skipped (no ground truth),,Academic Conferences#1,Additional Dataset Information,,3,[],,,,,What is the licensing for this dataset? Can I use it commercially?
,skipped (no ground truth),,Academic Conference#2,Described Dataset,,0,[],,,,,Are there datasets available on government-funded AI research conferences in the UK?
,skipped (no ground truth),,Academic Conference#2,Source Request,,1,[],,,,,Where can I download this dataset?
,skipped (no ground truth),,Academic Conference#2,Additional Dataset Information,,2,[],,,,,What format is this dataset available in?
4.0,,1.0,Property Prices #1,Described Dataset,0.5,0,"[{""dataset_title"": ""Average House Prices by Borough, Ward, MSOA & LSOA"", ""relevance"": 4}, {""dataset_title"": ""Ratio of House Prices to Earnings, Borough"", ""relevance"": 3}, {""dataset_title"": ""UK House Price Index"", ""relevance"": 3}, {""dataset_title"": ""House Price per Square Metre in England and Wales"", ""relevance"": 4}, {""dataset_title"": ""Monthly Mix-Adjusted Average House Prices, London"", ""relevance"": 4}, {""dataset_title"": ""Focus on London - Housing"", ""relevance"": 4}]","['Average House Prices by Borough, Ward, MSOA & LSOA', 'Focus on London - Income and Spending', 'Monthly Mix-Adjusted Average House Prices, London']",0.667,,,Can you find me a dataset with the average property prices in London?
,,0,Property Prices #1,Source Request,0.0,1,"[""https://data.london.gov.uk/dataset/average-house-prices"", ""https://data.london.gov.uk/dataset/ratio-house-prices-earnings-borough"", ""https://data.london.gov.uk/dataset/uk-house-price-index"", ""https://data.london.gov.uk/dataset/house-price-per-square-metre-in-england-and-wales"", ""https://data.london.gov.uk/dataset/monthly-mix-adjusted-average-house-prices-london""]","Based on the information provided, I cannot provide a download link for the dataset as there is no information available about where the dataset is hosted or if it is available for download. The metadata summaries only provide information about the dataset's title, description, and landing page URL, which is a webpage that provides more information about the dataset but does not offer direct download access.",0,,,Where is this dataset hosted? Can you provide a download link?
,skipped (no ground truth),,Property Prices #1,Additional Dataset Information,,2,[],,,,,"Does this dataset include additional details such as property types (flats, houses, etc.)?"
4.0,,0.667,Property Prices #2,Implied Dataset,0.333,0,"[{""dataset_title"": ""Average House Prices by Borough, Ward, MSOA & LSOA"", ""relevance"": 4}, {""dataset_title"": ""Ratio of House Prices to Earnings, Borough"", ""relevance"": 3}, {""dataset_title"": ""UK House Price Index"", ""relevance"": 3}, {""dataset_title"": ""House Price per Square Metre in England and Wales"", ""relevance"": 4}, {""dataset_title"": ""Monthly Mix-Adjusted Average House Prices, London"", ""relevance"": 4}, {""dataset_title"": ""The Economics of London's Housing Market"", ""relevance"": 4}]","['Focus on London - Housing', 'Monthly Mix-Adjusted Average House Prices, London', ""The Economics of London's Housing Market""]",0.444,,,How have property prices in London changed over the past 20 years?
,,0.0,Property Prices #2,Source Request,0.0,1,"[""https://data.london.gov.uk/dataset/average-house-prices"", ""https://data.london.gov.uk/dataset/ratio-house-prices-earnings-borough"", ""https://data.london.gov.uk/dataset/uk-house-price-index"", ""https://data.london.gov.uk/dataset/house-price-per-square-metre-in-england-and-wales"", ""https://data.london.gov.uk/dataset/monthly-mix-adjusted-average-house-prices-london""]","To download these datasets, you can visit the following links:

* Dataset 1: <https://data.london.gov.uk/dataset/62c08c7b-20c6-4e3d-bdbb-dc50f0943682>
* Dataset 2: <https://data.london.gov.uk/dataset/2ca35ab8-a03d-45de-be47-d685f655ec8b>
* Dataset 3: <https://data.london.gov.uk/dataset/e1b60712-b128-4412-b7bd-d1117519033b>
* Dataset 4: <https://data.london.gov.uk/dataset/7901b7b4-c7c2-4357-8b91-192cbdbe494f>
* Dataset 5: <https://data.london.gov.uk/dataset/e9646223-b134-42de-978a-696a41fb64e2>",0,,,Can you provide direct links to download these datasets?
,skipped (no ground truth),,Property Prices #2,Additional Dataset Information,,2,[],,,,,"Are these datasets updated regularly, and do they include projections for future trends?"
,skipped (no ground truth),,Birds#1,Dataset Request,,0,[],,,,,Do you have data from eBird from before 2021?
,skipped (no ground truth),,Birds#1,Source Request,,1,[],,,,,Can you provide a link to the eBird dataset for Europe?
,skipped (no ground truth),,Birds#1,Additional Dataset Information,,2,[],,,,,"Does this dataset include only citizen science data, or does it also contain government surveys?"
,skipped (no ground truth),,Birds#2,Implied Dataset,,0,[],,,,,What are the most common bird species in the UK?
,skipped (no ground truth),,Birds#2,Source Request,,1,[],,,,,Can you provide links to open data portals with bird observation records?
,skipped (no ground truth),,Birds#2,Additional Dataset Information,,2,[],,,,,What licensing does this dataset have?
3.67,,1.0,Postcode Address Files #1,Dataset Request,0.75,0,"[{""dataset_title"": ""Ordnance Survey Open Data"", ""relevance"": 4}, {""dataset_title"": ""Ordnance Survey Code-Point Open"", ""relevance"": 4}, {""dataset_title"": ""London Boroughs"", ""relevance"": 3}, {""dataset_title"": ""Postcode Directory for London"", ""relevance"": 3}]","['Ordnance Survey OpenData', 'Ordnance Survey Code-Point Open', 'London Boroughs']",0.857,,,Can you provide me with the UK Ordnance Survey Open Names dataset containing all street names and postal codes?
